,coords,start_date,end_date
0,"70.05747305980753,22.75584825455804,70.77707755199503,23.347227202657884",2024-05-01,2024-05-30
1,"71.80561451626798,26.779656550683757,71.87393574429532,26.839178548825746",2024-04-01,2024-04-30
2,"71.80861454578707,27.156037378309367,71.8656061229355,27.198490635629984",2024-05-01,2024-05-30
3,"72.03719004155045,26.874580807870533,72.08044870854263,26.909027924511395",2025-03-01,2025-03-30
4,"74.89050656941924,26.82173124221248,75.23176938680206,27.068408947664345",2024-07-01,2024-07-30
5,"75.02116881932491,13.604775695171515,75.14869305159489,13.723065478374133",2025-03-10,2025-03-30
6,"77.074928,28.547735,77.095613,28.565602",2023-04-01,2023-04-30
7,"78.215,17.263,78.406,17.419",2024-04-01,2024-04-30
8,"78.414232,17.214756,78.468819,17.262302",2024-09-01,2024-09-30
9,"78.68,17.91,78.81,18.02",2024-04-01,2024-04-30
10,"78.87519964523268,17.81853681454518,78.91622671432448,17.853751821063682",2025-07-10,2025-07-20
11,"78.900571,18.310855,79.272782,18.64039",2023-10-01,2023-10-30
12,"82.49338896860974,22.28268709900715,82.62488158335583,22.385896524592813",2025-04-10,2025-04-20
13,"86.32818525312832,23.710052945893406,86.45967786787442,23.817514106826867",2025-04-10,2025-04-30
